timestamp,hourly_traffic_count
datetime,float
T,
2011-01-28 15:00:00,3726
2011-01-28 16:00:00,4713
2011-01-28 17:00:00,4415
2011-01-28 18:00:00,4720
2011-01-28 19:00:00,4227
2011-01-28 20:00:00,3866
2011-01-28 21:00:00,3372
2011-01-28 22:00:00,2687
2011-01-28 23:00:00,2292
2011-01-29 00:00:00,1972
2011-01-29 01:00:00,1419
2011-01-29 02:00:00,1076
2011-01-29 03:00:00,759
2011-01-29 04:00:00,575
2011-01-29 05:00:00,725
2011-01-29 06:00:00,748
2011-01-29 07:00:00,1256
2011-01-29 08:00:00,1778
2011-01-29 09:00:00,2097
2011-01-29 10:00:00,2312
2011-01-29 11:00:00,2541
2011-01-29 12:00:00,3059
2011-01-29 13:00:00,3164
2011-01-29 14:00:00,3315
2011-01-29 15:00:00,4013
2011-01-29 16:00:00,3890
2011-01-29 17:00:00,3705
2011-01-29 18:00:00,3737
2011-01-29 19:00:00,3536
2011-01-29 20:00:00,3113
2011-01-29 21:00:00,2840
2011-01-29 22:00:00,2439
2011-01-29 23:00:00,2397
2011-01-30 00:00:00,2368
2011-01-30 01:00:00,1854
2011-01-30 02:00:00,1241
2011-01-30 03:00:00,1028
2011-01-30 04:00:00,821
2011-01-30 05:00:00,838
2011-01-30 06:00:00,730
2011-01-30 07:00:00,831
2011-01-30 08:00:00,1200
2011-01-30 09:00:00,1340
2011-01-30 10:00:00,1703
2011-01-30 11:00:00,2433
2011-01-30 12:00:00,2974
2011-01-30 13:00:00,3387
2011-01-30 14:00:00,3488
2011-01-30 15:00:00,3832
2011-01-30 16:00:00,3824
2011-01-30 17:00:00,3894
2011-01-30 18:00:00,3390
2011-01-30 19:00:00,3203
2011-01-30 20:00:00,3217
2011-01-30 21:00:00,2775
2011-01-30 22:00:00,2307
2011-01-30 23:00:00,1914
2011-01-31 00:00:00,1460
2011-01-31 01:00:00,954
2011-01-31 02:00:00,592
2011-01-31 03:00:00,434
2011-01-31 04:00:00,310
2011-01-31 05:00:00,500
2011-01-31 06:00:00,1119
2011-01-31 07:00:00,2497
2011-01-31 08:00:00,3027
2011-01-31 09:00:00,3659
2011-01-31 10:00:00,2885
2011-01-31 11:00:00,2521
2011-01-31 12:00:00,2851
2011-01-31 13:00:00,2831
2011-01-31 14:00:00,2962
2011-01-31 15:00:00,3516
2011-01-31 16:00:00,4766
2011-01-31 17:00:00,4705
2011-01-31 18:00:00,4660
2011-01-31 19:00:00,4481
2011-01-31 20:00:00,4061
2011-01-31 21:00:00,3556
2011-01-31 22:00:00,2748
2011-01-31 23:00:00,1936
2011-02-01 00:00:00,1503
2011-02-01 01:00:00,1156
2011-02-01 02:00:00,650
2011-02-01 03:00:00,329
2011-02-01 04:00:00,376
2011-02-01 05:00:00,472
2011-02-01 06:00:00,1026
2011-02-01 07:00:00,2120
2011-02-01 08:00:00,2684
2011-02-01 09:00:00,3098
2011-02-01 10:00:00,2374
2011-02-01 11:00:00,2020
2011-02-01 12:00:00,1848
2011-02-01 13:00:00,2225
2011-02-01 14:00:00,2171
2011-02-01 15:00:00,2660
2011-02-01 16:00:00,3782
2011-02-01 17:00:00,4020
2011-02-01 18:00:00,3627
2011-02-01 19:00:00,2747
2011-02-01 20:00:00,2910
2011-02-01 21:00:00,2124
2011-02-01 22:00:00,1612
2011-02-01 23:00:00,1373
2011-02-02 00:00:00,1233
2011-02-02 01:00:00,831
2011-02-02 02:00:00,510
2011-02-02 03:00:00,323
2011-02-02 04:00:00,264
2011-02-02 05:00:00,350
2011-02-02 06:00:00,534
2011-02-02 07:00:00,1226
2011-02-02 08:00:00,1598
2011-02-02 09:00:00,1845
