jobID,  modelID,  status,  completionReason,  startTime,  endTime,  runtime(s),  expDesc,  numRecords,  modelParams|sensorParams|encoders|timestamp_weekend:radius,  modelParams|sensorParams|encoders|hourly_traffic_count:n,  modelParams|clParams|alpha,  modelParams|tpParams|minThreshold,  modelParams|tpParams|activationThreshold,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius,  modelParams|tpParams|pamLength,  modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius,  modelParams|sensorParams|encoders|_classifierInput|n,  modelParams|spParams|synPermInactiveDec,  multiStepBestPredictions:multiStep:errorMetric='aae':steps=[1]:window=1000:field=hourly_traffic_count,  multiStepBestPredictions:multiStep:errorMetric='altMAPE':steps=[1]:window=1000:field=hourly_traffic_count, 
1192,  151504,  completed,  eof,  2014-08-12 14:02:58,  2014-08-12 14:03:30,  32,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_4.36675441358.modelParams|clParams|alpha_0.0350633738097.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|_classifierInput|n_221.modelParams|spParams|synPermInactiveDec_0.0531983258712,  4808,  None,  None,  0.0350633738097,  11,  13,  4.36675441358,  2,  None,  221,  0.0531983258712,  10.944,  24.2188191555, 
1192,  151505,  completed,  eof,  2014-08-12 14:02:59,  2014-08-12 14:03:31,  32,  modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|clParams|alpha_0.00213405001136.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.0916133199213,  4808,  1,  None,  0.00213405001136,  9,  12,  None,  1,  None,  28,  0.0916133199213,  25.2168993588,  55.8044156828, 
1192,  151506,  completed,  eof,  2014-08-12 14:03:04,  2014-08-12 14:04:08,  64,  modelParams|sensorParams|encoders|hourly_traffic_count:n_34.modelParams|clParams|alpha_0.00136214688957.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.0905815648686,  4808,  None,  34,  0.00136214688957,  10,  13,  None,  2,  None,  28,  0.0905815648686,  14.0842286719,  31.1680726563, 
1192,  151507,  completed,  eof,  2014-08-12 14:03:07,  2014-08-12 14:03:45,  38,  modelParams|clParams|alpha_0.014074422339.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_3.97330131759.modelParams|sensorParams|encoders|_classifierInput|n_176.modelParams|spParams|synPermInactiveDec_0.0744156917806,  4808,  None,  None,  0.014074422339,  10,  13,  None,  2,  3.97330131759,  176,  0.0744156917806,  28.2207785893,  62.4519310199, 
1192,  151508,  completed,  eof,  2014-08-12 14:03:11,  2014-08-12 14:03:42,  31,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_4.71855319166.modelParams|clParams|alpha_0.0302239945921.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|_classifierInput|n_207.modelParams|spParams|synPermInactiveDec_0.0575498536313,  4808,  None,  None,  0.0302239945921,  12,  13,  4.71855319166,  2,  None,  207,  0.0575498536313,  11.0890006175,  24.539702172, 
1192,  151509,  completed,  eof,  2014-08-12 14:03:11,  2014-08-12 14:03:43,  32,  modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|clParams|alpha_0.000663609851918.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.0911646015444,  4808,  1,  None,  0.000663609851918,  9,  12,  None,  1,  None,  28,  0.0911646015444,  26.2801378768,  58.1573379587, 
1192,  151510,  completed,  eof,  2014-08-12 14:03:14,  2014-08-12 14:04:13,  59,  modelParams|sensorParams|encoders|hourly_traffic_count:n_50.modelParams|clParams|alpha_0.00157379450209.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.0892414788121,  4808,  None,  50,  0.00157379450209,  9,  13,  None,  3,  None,  28,  0.0892414788121,  14.2367283713,  31.5055509677, 
1192,  151511,  completed,  killed,  2014-08-12 14:03:14,  2014-08-12 14:03:45,  31,  modelParams|clParams|alpha_0.0113318362924.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_3.90608561568.modelParams|sensorParams|encoders|_classifierInput|n_169.modelParams|spParams|synPermInactiveDec_0.0744473368436,  3850,  None,  None,  0.0113318362924,  10,  13,  None,  2,  3.90608561568,  169,  0.0744473368436,  37.3281521923,  83.5006983542, 
1192,  151512,  completed,  eof,  2014-08-12 14:03:31,  2014-08-12 14:04:01,  30,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_4.13750073733.modelParams|clParams|alpha_0.0339382458964.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|_classifierInput|n_218.modelParams|spParams|synPermInactiveDec_0.0525063306698,  4808,  None,  None,  0.0339382458964,  11,  13,  4.13750073733,  2,  None,  218,  0.0525063306698,  11.182,  24.7455076569, 
1192,  151513,  completed,  eof,  2014-08-12 14:03:31,  2014-08-12 14:04:03,  32,  modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|clParams|alpha_0.00271033468439.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.0889712082541,  4808,  1,  None,  0.00271033468439,  9,  12,  None,  1,  None,  28,  0.0889712082541,  24.9770602664,  55.2736573127, 
1192,  151514,  completed,  eof,  2014-08-12 14:03:34,  2014-08-12 14:04:15,  41,  modelParams|sensorParams|encoders|hourly_traffic_count:n_23.modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.0944443524096,  4808,  None,  23,  0.0001,  9,  13,  None,  2,  None,  28,  0.0944443524096,  15.7656399865,  34.888997049, 
1192,  151515,  completed,  killed,  2014-08-12 14:03:42,  2014-08-12 14:03:45,  3,  modelParams|clParams|alpha_0.0154259019147.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_3.77374465568.modelParams|sensorParams|encoders|_classifierInput|n_168.modelParams|spParams|synPermInactiveDec_0.0739709238473,  300,  None,  None,  0.0154259019147,  10,  13,  None,  2,  3.77374465568,  168,  0.0739709238473,  31.3222941684,  74.2340357987, 
1192,  151516,  completed,  eof,  2014-08-12 14:03:43,  2014-08-12 14:04:14,  31,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_4.17680191901.modelParams|clParams|alpha_0.0325982003508.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|_classifierInput|n_206.modelParams|spParams|synPermInactiveDec_0.05617597577,  4808,  None,  None,  0.0325982003508,  10,  13,  4.17680191901,  2,  None,  206,  0.05617597577,  11.1692516374,  24.717295825, 
1192,  151517,  completed,  eof,  2014-08-12 14:03:44,  2014-08-12 14:04:16,  32,  modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|clParams|alpha_0.00354126671856.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.0890335006925,  4808,  1,  None,  0.00354126671856,  9,  12,  None,  1,  None,  28,  0.0890335006925,  24.8762542004,  55.0505758174, 
1192,  151518,  completed,  eof,  2014-08-12 14:03:45,  2014-08-12 14:04:42,  57,  modelParams|sensorParams|encoders|hourly_traffic_count:n_57.modelParams|clParams|alpha_0.00665662628412.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|_classifierInput|n_34.modelParams|spParams|synPermInactiveDec_0.0865302043755,  4808,  None,  57,  0.00665662628412,  11,  14,  None,  1,  None,  34,  0.0865302043755,  13.4649211497,  29.7975594177, 
1192,  151519,  completed,  eof,  2014-08-12 14:03:45,  2014-08-12 14:04:16,  31,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_4.19922135585.modelParams|clParams|alpha_0.0340799291426.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|_classifierInput|n_220.modelParams|spParams|synPermInactiveDec_0.0529286770106,  4808,  None,  None,  0.0340799291426,  11,  12,  4.19922135585,  2,  None,  220,  0.0529286770106,  11.006,  24.3560237231, 
