jobID,  modelID,  status,  completionReason,  startTime,  endTime,  runtime(s),  expDesc,  numRecords,  modelParams|sensorParams|encoders|timestamp_weekend:radius,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius,  modelParams|clParams|alpha,  modelParams|tpParams|minThreshold,  modelParams|tpParams|activationThreshold,  modelParams|tpParams|pamLength,  modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius,  modelParams|sensorParams|encoders|kw_energy_consumption:n,  modelParams|sensorParams|encoders|_classifierInput|n,  modelParams|spParams|synPermInactiveDec,  multiStepBestPredictions:multiStep:errorMetric='aae':steps=[1]:window=1000:field=kw_energy_consumption,  multiStepBestPredictions:multiStep:errorMetric='altMAPE':steps=[1]:window=1000:field=kw_energy_consumption, 
1001,  1548,  completed,  eof,  2014-08-07 17:01:16,  2014-08-07 17:02:26,  70,  modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_6.16935171198.modelParams|clParams|alpha_0.0351561188367.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|kw_energy_consumption:n_79.modelParams|sensorParams|encoders|_classifierInput|n_186.modelParams|spParams|synPermInactiveDec_0.070612991128,  4391,  1,  6.16935171198,  0.0351561188367,  10,  13,  2,  None,  79,  186,  0.070612991128,  6.55400417648,  18.7776598606, 
1001,  1549,  completed,  eof,  2014-08-07 17:01:16,  2014-08-07 17:02:23,  67,  modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_6.10461983634.modelParams|clParams|alpha_0.0203817858257.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|kw_energy_consumption:n_59.modelParams|sensorParams|encoders|_classifierInput|n_131.modelParams|spParams|synPermInactiveDec_0.0810585357451,  4391,  1,  6.10461983634,  0.0203817858257,  10,  12,  2,  None,  59,  131,  0.0810585357451,  6.00288883307,  17.1986775799, 
1001,  1550,  completed,  eof,  2014-08-07 17:02:05,  2014-08-07 17:03:14,  69,  modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_6.16935171198.modelParams|clParams|alpha_0.0351561188367.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|kw_energy_consumption:n_79.modelParams|sensorParams|encoders|_classifierInput|n_186.modelParams|spParams|synPermInactiveDec_0.070612991128,  4391,  1,  6.16935171198,  0.0351561188367,  10,  13,  2,  None,  79,  186,  0.070612991128,  6.55400417648,  18.7776598606, 
1001,  1551,  completed,  eof,  2014-08-07 17:02:24,  2014-08-07 17:03:25,  61,  modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_5.96076401586.modelParams|clParams|alpha_0.00213305488519.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|kw_energy_consumption:n_22.modelParams|sensorParams|encoders|_classifierInput|n_45.modelParams|spParams|synPermInactiveDec_0.0971551527298,  4391,  1,  5.96076401586,  0.00213305488519,  9,  12,  1,  None,  22,  45,  0.0971551527298,  6.68090290708,  19.1412332023, 
1001,  1552,  completed,  eof,  2014-08-07 17:02:25,  2014-08-07 17:03:28,  63,  modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_6.07893195753.modelParams|clParams|alpha_0.0187011056713.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|kw_energy_consumption:n_70.modelParams|sensorParams|encoders|_classifierInput|n_126.modelParams|spParams|synPermInactiveDec_0.0794158992229,  4391,  1,  6.07893195753,  0.0187011056713,  9,  12,  2,  None,  70,  126,  0.0794158992229,  6.46768506792,  18.5303498473, 
1001,  1553,  completed,  eof,  2014-08-07 17:02:26,  2014-08-07 17:03:29,  63,  modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_6.03322931329.modelParams|clParams|alpha_0.0196245043299.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|kw_energy_consumption:n_42.modelParams|sensorParams|encoders|_classifierInput|n_127.modelParams|spParams|synPermInactiveDec_0.0816760376104,  4391,  1,  6.03322931329,  0.0196245043299,  11,  12,  2,  None,  42,  127,  0.0816760376104,  6.17709947106,  17.6978026973, 
1001,  1554,  completed,  eof,  2014-08-07 17:03:14,  2014-08-07 17:04:19,  65,  modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_6.15328744861.modelParams|clParams|alpha_0.0182425168033.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|kw_energy_consumption:n_62.modelParams|sensorParams|encoders|_classifierInput|n_134.modelParams|spParams|synPermInactiveDec_0.0805092304309,  4391,  1,  6.15328744861,  0.0182425168033,  10,  12,  2,  None,  62,  134,  0.0805092304309,  6.43679853982,  18.4418578807, 
1001,  1555,  completed,  eof,  2014-08-07 17:03:25,  2014-08-07 17:04:34,  69,  modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_6.09034415269.modelParams|clParams|alpha_0.0196250890515.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|kw_energy_consumption:n_29.modelParams|sensorParams|encoders|_classifierInput|n_115.modelParams|spParams|synPermInactiveDec_0.0856822800665,  4391,  1,  6.09034415269,  0.0196250890515,  10,  12,  1,  None,  29,  115,  0.0856822800665,  5.72441829768,  16.4008408905, 
1001,  1556,  completed,  eof,  2014-08-07 17:03:29,  2014-08-07 17:04:30,  61,  modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_6.09464359517.modelParams|clParams|alpha_0.0128094862339.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|kw_energy_consumption:n_38.modelParams|sensorParams|encoders|_classifierInput|n_84.modelParams|spParams|synPermInactiveDec_0.0911150777345,  4391,  1,  6.09464359517,  0.0128094862339,  10,  12,  2,  None,  38,  84,  0.0911150777345,  6.0623189339,  17.3689487895, 
1001,  1557,  completed,  eof,  2014-08-07 17:03:29,  2014-08-07 17:04:32,  63,  modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_5.98462344972.modelParams|clParams|alpha_0.0148821129988.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|kw_energy_consumption:n_22.modelParams|sensorParams|encoders|_classifierInput|n_100.modelParams|spParams|synPermInactiveDec_0.0897107201549,  4391,  1,  5.98462344972,  0.0148821129988,  10,  12,  2,  None,  22,  100,  0.0897107201549,  6.37943843472,  18.2775173472, 
