jobID,  modelID,  status,  completionReason,  startTime,  endTime,  runtime(s),  expDesc,  numRecords,  modelParams|sensorParams|encoders|timestamp_weekend:radius,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius,  modelParams|sensorParams|encoders|hourly_traffic_count1:n,  modelParams|clParams|alpha,  modelParams|tpParams|minThreshold,  modelParams|tpParams|activationThreshold,  modelParams|sensorParams|encoders|hourly_traffic_count2:n,  modelParams|tpParams|pamLength,  modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius,  modelParams|sensorParams|encoders|_classifierInput|n,  modelParams|spParams|synPermInactiveDec,  multiStepBestPredictions:multiStep:errorMetric='aae':steps=[1]:window=1000:field=hourly_traffic_count1,  multiStepBestPredictions:multiStep:errorMetric='altMAPE':steps=[1]:window=1000:field=hourly_traffic_count1, 
1015,  4350,  completed,  eof,  2014-08-07 19:51:06,  2014-08-07 19:51:38,  32,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_0.5.modelParams|sensorParams|encoders|hourly_traffic_count1:n_147.modelParams|clParams|alpha_0.025075.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|sensorParams|encoders|hourly_traffic_count2:n_147.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_4.75.modelParams|sensorParams|encoders|_classifierInput|n_151.modelParams|spParams|synPermInactiveDec_0.075075,  1584,  None,  0.5,  147,  0.025075,  10,  13,  147,  2,  4.75,  151,  0.075075,  386.266063499,  10.6779434929, 
1015,  4361,  completed,  eof,  2014-08-07 19:51:07,  2014-08-07 19:51:49,  42,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_1.075.modelParams|sensorParams|encoders|hourly_traffic_count1:n_396.modelParams|clParams|alpha_0.075025.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_15.modelParams|sensorParams|encoders|hourly_traffic_count2:n_396.modelParams|tpParams|pamLength_4.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_2.25.modelParams|sensorParams|encoders|_classifierInput|n_398.modelParams|spParams|synPermInactiveDec_0.025225,  1584,  None,  1.075,  396,  0.075025,  11,  15,  396,  4,  2.25,  398,  0.025225,  455.604514216,  12.5947364203, 
1015,  4362,  completed,  eof,  2014-08-07 19:51:18,  2014-08-07 19:51:56,  38,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_1.21875.modelParams|sensorParams|encoders|hourly_traffic_count1:n_296.modelParams|clParams|alpha_0.055045.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|sensorParams|encoders|hourly_traffic_count2:n_296.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_3.75.modelParams|sensorParams|encoders|_classifierInput|n_299.modelParams|spParams|synPermInactiveDec_0.055135,  1584,  None,  1.21875,  296,  0.055045,  11,  14,  296,  3,  3.75,  299,  0.055135,  451.061125881,  12.469138941, 
1015,  4363,  completed,  eof,  2014-08-07 19:51:38,  2014-08-07 19:52:13,  35,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_0.5.modelParams|sensorParams|encoders|hourly_traffic_count1:n_172.modelParams|clParams|alpha_0.02008.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|sensorParams|encoders|hourly_traffic_count2:n_122.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_4.5.modelParams|sensorParams|encoders|_classifierInput|n_127.modelParams|spParams|synPermInactiveDec_0.08006,  1584,  None,  0.5,  172,  0.02008,  10,  13,  122,  2,  4.5,  127,  0.08006,  395.382385372,  10.9299551993, 
1015,  4364,  completed,  eof,  2014-08-07 19:51:39,  2014-08-07 19:52:12,  33,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_0.752997526299.modelParams|sensorParams|encoders|hourly_traffic_count1:n_108.modelParams|clParams|alpha_0.0318352278794.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|sensorParams|encoders|hourly_traffic_count2:n_97.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_4.04825647603.modelParams|sensorParams|encoders|_classifierInput|n_180.modelParams|spParams|synPermInactiveDec_0.0796119334384,  1584,  None,  0.752997526299,  108,  0.0318352278794,  10,  13,  97,  2,  4.04825647603,  180,  0.0796119334384,  404.92146369,  11.1936535899, 
1015,  4365,  completed,  eof,  2014-08-07 19:51:49,  2014-08-07 19:52:25,  36,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_0.752997526299.modelParams|sensorParams|encoders|hourly_traffic_count1:n_200.modelParams|clParams|alpha_0.0265395442413.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|sensorParams|encoders|hourly_traffic_count2:n_171.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_4.69883765069.modelParams|sensorParams|encoders|_classifierInput|n_167.modelParams|spParams|synPermInactiveDec_0.0709861331232,  1584,  None,  0.752997526299,  200,  0.0265395442413,  10,  13,  171,  2,  4.69883765069,  167,  0.0709861331232,  431.003406748,  11.9146631231, 
1015,  4366,  completed,  eof,  2014-08-07 19:51:56,  2014-08-07 19:52:30,  34,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_0.752997526299.modelParams|sensorParams|encoders|hourly_traffic_count1:n_163.modelParams|clParams|alpha_0.0247743163619.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|sensorParams|encoders|hourly_traffic_count2:n_246.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_5.15058117466.modelParams|sensorParams|encoders|_classifierInput|n_162.modelParams|spParams|synPermInactiveDec_0.0714341996848,  1584,  None,  0.752997526299,  163,  0.0247743163619,  10,  13,  246,  2,  5.15058117466,  162,  0.0714341996848,  412.764893473,  11.4104774528, 
1015,  4367,  completed,  killed,  2014-08-07 19:51:56,  2014-08-07 19:52:31,  35,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_0.672496907873.modelParams|sensorParams|encoders|hourly_traffic_count1:n_170.modelParams|clParams|alpha_0.0242054765448.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|sensorParams|encoders|hourly_traffic_count2:n_183.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_4.69203506027.modelParams|sensorParams|encoders|_classifierInput|n_152.modelParams|spParams|synPermInactiveDec_0.0766797032493,  1550,  None,  0.672496907873,  170,  0.0242054765448,  10,  13,  183,  2,  4.69203506027,  152,  0.0766797032493,  401.907641894,  11.110247326, 
1015,  4368,  completed,  killed,  2014-08-07 19:52:12,  2014-08-07 19:52:31,  19,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_0.5.modelParams|sensorParams|encoders|hourly_traffic_count1:n_164.modelParams|clParams|alpha_0.0325309954494.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|sensorParams|encoders|hourly_traffic_count2:n_156.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_5.42752862769.modelParams|sensorParams|encoders|_classifierInput|n_188.modelParams|spParams|synPermInactiveDec_0.0698964247571,  650,  None,  0.5,  164,  0.0325309954494,  10,  13,  156,  2,  5.42752862769,  188,  0.0698964247571,  417.141818305,  11.4715020803, 
1015,  4369,  completed,  killed,  2014-08-07 19:52:14,  2014-08-07 19:52:31,  17,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_0.5.modelParams|sensorParams|encoders|hourly_traffic_count1:n_150.modelParams|clParams|alpha_0.0255461629473.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|sensorParams|encoders|hourly_traffic_count2:n_143.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_4.70804716431.modelParams|sensorParams|encoders|_classifierInput|n_151.modelParams|spParams|synPermInactiveDec_0.0749106692954,  600,  None,  0.5,  150,  0.0255461629473,  10,  13,  143,  2,  4.70804716431,  151,  0.0749106692954,  401.960457537,  11.0934893928, 
1015,  4370,  completed,  killed,  2014-08-07 19:52:25,  2014-08-07 19:52:31,  6,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_0.5.modelParams|sensorParams|encoders|hourly_traffic_count1:n_104.modelParams|clParams|alpha_0.0128501223736.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_13.modelParams|sensorParams|encoders|hourly_traffic_count2:n_96.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_5.35604614335.modelParams|sensorParams|encoders|_classifierInput|n_92.modelParams|spParams|synPermInactiveDec_0.0865887871734,  50,  None,  0.5,  104,  0.0128501223736,  9,  13,  96,  1,  5.35604614335,  92,  0.0865887871734,  515.567910204,  14.9763331654, 
